Tokenizing,Stemming
"['baru', 'kali', 'ini', 'saya', 'bener', 'bener', 'di', 'rugikan', 'sama', 'sekali', 'sma', 'kredivo', 'saya', 'beli', 'kuota', 'telkomsel', 'yang', 'melalui', 'kredivo', 'saya', 'konfirmasi', 'pembayaran', 'dan', 'saat', 'itu', 'muncul', 'tulisan', 'eror', 'dan', 'saya', 'coba', 'lagi', 'sampai', 'kali', 'masih', 'eror', 'nah', 'ketika', 'saya', 'masuk', 'ke', 'aplikasi', 'telkomsel', 'ternyata', 'sukses', 'dan', 'yang', 'bikin', 'saya', 'kecewa', 'berrat', 'ternyata', 'kali', 'coba', 'itu', 'sukses', 'dan', 'saya', 'harus', 'membayar', 'rb', 'uang', 'dari', 'mana', 'coba', 'sumpah', 'ga', 'ngerti', 'lagi', 'sama', 'kredivo', 'saya', 'bener', 'bener', 'di', 'rugikan', 'minta', 'pertanggungjawaban']",baru kali ini saya bener bener di rugi sama sekali sma kredivo saya beli kuota telkomsel yang lalu kredivo saya konfirmasi bayar dan saat itu muncul tulis eror dan saya coba lagi sampai kali masih eror nah ketika saya masuk ke aplikasi telkomsel nyata sukses dan yang bikin saya kecewa rat nyata kali coba itu sukses dan saya harus bayar rb uang dari mana coba sumpah ga ngerti lagi sama kredivo saya bener bener di rugi minta pertanggungjawaban
"['akun', 'premium', 'yg', 'ngga', 'jelas', 'limit', 'besar', 'tp', 'ngga', 'bisa', 'pakai', 'sangat', 'kecewa', 'saya', 'padahal', 'udah', 'lama', 'pake', 'kredivo', 'sistem', 'yg', 'jelek', 'mending', 'pake', 'akun', 'basic', 'ajalah', 'bisa', 'dipake', 'semua', 'limitnya']",akun premium yg ngga jelas limit besar tp ngga bisa pakai sangat kecewa saya padahal udah lama pake kredivo sistem yg jelek mending pake akun basic aja bisa dipake semua limit
"['kredivo', 'pelayanan', 'dan', 'pencairan', 'cepat', 'dan', 'bunga', 'rendah', 'asalkan', 'data', 'yg', 'diberikan', 'lengkap', 'terima', 'kasih', 'sdh', 'membantu', 'semoga', 'ke', 'depannya', 'lebih', 'mudah', 'lagi', 'kalo', 'top', 'up']",kredivo layan dan cair cepat dan bunga rendah asal data yg beri lengkap terima kasih sdh bantu moga ke depan lebih mudah lagi kalo top up
"['luar', 'biasa', 'kredivo']",luar biasa kredivo
"['sampai', 'saat', 'ini', 'aplikasi', 'kredivo', 'sangat', 'membantu', 'dan', 'memudahkan', 'dalam', 'berbelanja', 'online', 'secara', 'kredit', 'dan', 'ada', 'pinjaman', 'uang', 'dengan', 'tenor', 'dan', 'bulan', 'dan', 'saya', 'sudah', 'bisa', 'pengajuan', 'belanja', 'maupun', 'pinjaman', 'uang', 'dengan', 'tenor', 'bulan', 'semoga', 'ke', 'depan', 'kredivo', 'selalu', 'memberi', 'kemudahan', 'dan', 'menurunkan', 'tingkat', 'bunga', 'serta', 'tetep', 'lancar', 'terus', 'agar', 'mendapatkan', 'fasilitas', 'terbaik', 'terima', 'kasih', 'banyak']",sampai saat ini aplikasi kredivo sangat bantu dan mudah dalam belanja online cara kredit dan ada pinjam uang dengan tenor dan bulan dan saya sudah bisa aju belanja maupun pinjam uang dengan tenor bulan moga ke depan kredivo selalu beri mudah dan turun tingkat bunga serta tetep lancar terus agar dapat fasilitas baik terima kasih banyak
"['saya', 'ada', 'transaksi', 'pakai', 'rish', 'tagihan', 'sudah', 'sudah', 'masuk', 'tapi', 'transaksi', 'saldo', 'tidak', 'masuk', 'di', 'pihak', 'merchant', 'saya', 'sudah', 'cari', 'bukti', 'jg', 'pihak', 'merchant', 'di', 'bank', 'sudah', 'di', 'kasik', 'bukti', 'tapi', 'pihak', 'kredivo', 'tidak', 'mau', 'tanggung', 'jawab', 'pdhl', 'aplikasi', 'kredivo', 'ada', 'notifikasi', 'transaksi', 'masih', 'di', 'proses', 'silahkan', 'hubungi', 'customer', 'service', 'kredivo', 'tapi', 'pihak', 'kredivo', 'tidak', 'mau', 'tau', 'nominal', 'saya', 'cukup', 'lumayan', 'jt', 'saya', 'tidak', 'terima', 'dana', 'tp', 'saya', 'suruh', 'bayar', 'tagihan', 'aplikasi', 'apa', 'ini']",saya ada transaksi pakai rish tagih sudah sudah masuk tapi transaksi saldo tidak masuk di pihak merchant saya sudah cari bukti jg pihak merchant di bank sudah di kasik bukti tapi pihak kredivo tidak mau tanggung jawab pdhl aplikasi kredivo ada notifikasi transaksi masih di proses silah hubung customer service kredivo tapi pihak kredivo tidak mau tau nominal saya cukup lumayan jt saya tidak terima dana tp saya suruh bayar tagih aplikasi apa ini
"['sering', 'make', 'baik', 'buat', 'belanja', 'dan', 'pinjaman', 'rutin', 'bayar', 'tepat', 'waktu', 'bahkan', 'dipercepat', 'namun', 'tetep', 'gka', 'naik', 'limitnya', 'udah', 'beberapa', 'tahun', 'make', 'padahal']",sering make baik buat belanja dan pinjam rutin bayar tepat waktu bahkan cepat namun tetep gka naik limit udah beberapa tahun make padahal
"['saya', 'merasa', 'dirugikan', 'oleh', 'kredivo', 'mengajukan', 'pengaduan', 'tidak', 'ditanggapi', 'walaupun', 'sudah', 'email', 'ke', 'cs', 'sudah', 'bayar', 'tagihan', 'tapi', 'tidak', 'di', 'proses', 'pembayran', 'saya', 'total', 'tagihan', 'tidak', 'berkurang', 'bukti', 'pembayran', 'sudah', 'dilampirkan', 'pada', 'tgl', 'mar', 'sudah', 'hari', 'kedua', 'masih', 'tidak', 'ditanggapi', 'sudah', 'denda', 'keterlambatan', 'tinggi', 'telp', 'tidak', 'berhenti', 'setiap', 'hari', 'sangat', 'mengecewakan', 'pelanggan']",saya rasa rugi oleh kredivo aju adu tidak tanggap walaupun sudah email ke cs sudah bayar tagih tapi tidak di proses pembayran saya total tagih tidak kurang bukti pembayran sudah lampir pada tgl mar sudah hari dua masih tidak tanggap sudah denda lambat tinggi telp tidak henti tiap hari sangat kecewa langgan
"['mempermudah', 'transaksi', 'proses', 'super', 'cepat', 'sangat', 'membantu', 'utk', 'kebutuhan', 'yg', 'mendesak', 'jos', 'pokok', 'men']",mudah transaksi proses super cepat sangat bantu utk butuh yg desak jos pokok men
['keren'],keren
